Fecha,Precio Diario del Dólar-EUA,Precio
1/3/2000,Compra,14.5000
1/4/2000,Compra,14.5000
1/5/2000,Compra,14.5100
1/6/2000,Compra,14.5100
1/7/2000,Compra,14.5100
1/10/2000,Compra,14.5100
1/11/2000,Compra,14.5100
1/12/2000,Compra,14.5300
1/13/2000,Compra,14.5400
1/14/2000,Compra,14.5400
1/17/2000,Compra,14.5400
1/18/2000,Compra,14.5400
1/19/2000,Compra,14.5500
1/20/2000,Compra,14.5500
1/21/2000,Compra,14.5500
1/24/2000,Compra,14.5500
1/25/2000,Compra,14.5500
1/26/2000,Compra,14.5700
1/27/2000,Compra,14.5700
1/28/2000,Compra,14.5700
1/31/2000,Compra,14.5700
2/1/2000,Compra,14.5700
2/2/2000,Compra,14.5900
2/3/2000,Compra,14.5900
2/4/2000,Compra,14.6000
2/7/2000,Compra,14.6000
2/8/2000,Compra,14.6000
2/9/2000,Compra,14.6200
2/10/2000,Compra,14.6160
2/11/2000,Compra,14.6160
2/14/2000,Compra,14.6155
2/15/2000,Compra,14.6166
2/16/2000,Compra,14.6173
2/17/2000,Compra,14.6174
2/18/2000,Compra,14.6174
2/21/2000,Compra,14.6177
2/22/2000,Compra,14.6178
2/23/2000,Compra,14.6240
2/24/2000,Compra,14.6254
2/25/2000,Compra,14.6244
2/28/2000,Compra,14.6251
2/29/2000,Compra,14.6251
3/1/2000,Compra,14.6291
3/2/2000,Compra,14.6296
3/3/2000,Compra,14.6298
3/6/2000,Compra,14.6298
3/7/2000,Compra,14.6301
3/8/2000,Compra,14.6462
3/9/2000,Compra,14.6455
3/10/2000,Compra,14.6469
3/13/2000,Compra,14.6467
3/14/2000,Compra,14.6454
3/15/2000,Compra,14.6559
3/16/2000,Compra,14.6577
3/17/2000,Compra,14.6575
3/20/2000,Compra,14.6580
3/21/2000,Compra,14.6570
3/22/2000,Compra,14.6642
3/23/2000,Compra,14.6655
3/24/2000,Compra,14.6648
3/27/2000,Compra,14.6655
3/28/2000,Compra,14.6658
3/29/2000,Compra,14.6749
3/30/2000,Compra,14.6751
3/31/2000,Compra,14.6750
4/3/2000,Compra,14.6753
4/4/2000,Compra,14.6757
4/5/2000,Compra,14.6862
4/6/2000,Compra,14.6865
4/7/2000,Compra,14.6861
4/10/2000,Compra,14.6867
4/11/2000,Compra,14.6869
4/12/2000,Compra,14.6969
4/13/2000,Compra,14.6979
4/17/2000,Compra,14.6980
4/18/2000,Compra,14.6982
4/19/2000,Compra,14.6981
4/24/2000,Compra,14.7090
4/25/2000,Compra,14.7088
4/26/2000,Compra,14.7102
4/27/2000,Compra,14.7095
4/28/2000,Compra,14.7101
5/1/2000,Compra,14.7901
5/2/2000,Compra,14.7269
5/3/2000,Compra,14.7274
5/4/2000,Compra,14.7276
5/5/2000,Compra,14.7277
5/8/2000,Compra,14.7280
5/9/2000,Compra,14.7505
5/10/2000,Compra,14.7539
5/11/2000,Compra,14.7463
5/12/2000,Compra,14.7544
5/15/2000,Compra,14.7547
5/16/2000,Compra,14.7691
5/17/2000,Compra,14.7677
5/18/2000,Compra,14.7676
5/19/2000,Compra,14.7677
5/22/2000,Compra,14.7681
5/23/2000,Compra,14.7800
5/24/2000,Compra,14.7797
5/25/2000,Compra,14.7803
5/26/2000,Compra,14.7805
5/29/2000,Compra,14.7806
5/30/2000,Compra,14.7897
5/31/2000,Compra,14.7900
6/1/2000,Compra,14.7901
6/2/2000,Compra,14.7904
6/5/2000,Compra,14.7903
6/6/2000,Compra,14.7902
6/7/2000,Compra,14.7903
6/8/2000,Compra,14.7907
6/9/2000,Compra,14.7908
6/12/2000,Compra,14.7910
6/13/2000,Compra,14.7894
6/14/2000,Compra,14.7898
6/15/2000,Compra,14.7898
6/16/2000,Compra,14.7902
6/19/2000,Compra,14.7902
6/20/2000,Compra,14.7973
6/21/2000,Compra,14.7978
6/22/2000,Compra,14.7977
6/23/2000,Compra,14.7978
6/26/2000,Compra,14.7951
6/27/2000,Compra,14.8172
6/28/2000,Compra,14.8206
6/29/2000,Compra,14.8200
6/30/2000,Compra,14.8148
7/3/2000,Compra,14.8154
7/4/2000,Compra,14.8606
7/5/2000,Compra,14.8333
7/6/2000,Compra,14.8334
7/7/2000,Compra,14.8337
7/10/2000,Compra,14.8336
7/11/2000,Compra,14.8416
7/12/2000,Compra,14.8418
7/13/2000,Compra,14.8400
7/14/2000,Compra,14.8418
7/17/2000,Compra,14.8417
7/18/2000,Compra,14.8529
7/19/2000,Compra,14.8538
7/20/2000,Compra,14.8536
7/21/2000,Compra,14.8534
7/24/2000,Compra,14.8540
7/25/2000,Compra,14.8729
7/26/2000,Compra,14.8721
7/27/2000,Compra,14.8732
7/28/2000,Compra,14.8717
7/31/2000,Compra,14.8729
8/1/2000,Compra,14.8800
8/2/2000,Compra,14.8815
